char    dec     hex     ver
0       219	    db      y
1       216 	d8      y
2       211	    d3      y
3       137     89      y
4       140	    8c      y
5       163 	a3      y
6       217	    d9      y
7       228	    e4      y
8       159	    9f      y
9       238	    ee      y
.       133	    85      y
-       180     b4      y
x       222	    de      y
y       139	    8b      y
z       203	    cb      y
u       162	    a2      y
v       27	    1b      y
w       20	    14      y
p       161	    a1      y
,       192	    c0      y
_       245     f5      y
/       23      17      y
h       202     ca      y
a       28	    1c      y

unusable dec: 0, 10, 13, 14, 46, 58, 143, 77, 126, 84, 79, 53, 33, 86, 66
